5518,嘉禾总站	868,新康花园站 
5517,嘉禾长红村总站	868,新康花园站 
5516,嘉禾长湴总站	868,新康花园站 
5514,嘉禾站	868,新康花园站 
5513,嘉禾地铁站总站2	868,新康花园站 
5512,嘉禾地铁站总站1	868,新康花园站 
5511,嘉禾地铁站总站	868,新康花园站 
5510,嘉禾八一科技园站	868,新康花园站 
5509,嘉禾八一科技园站	868,新康花园站 
5507,嘉禾(冶金研究所)总站	868,新康花园站 
5502,加石路中站	868,新康花园站 
5501,加石路中站	868,新康花园站 
5500,加石路口站	868,新康花园站 
5499,加石路口站	868,新康花园站 
5498,加石路(七星岗路口)站	868,新康花园站 
5497,加石路(七星岗路口)站	868,新康花园站 
5496,加石路(罗岗村)站	868,新康花园站 
5495,加石路(罗岗村)站	868,新康花园站 
5494,加工场站	868,新康花园站 
5493,加工场站	868,新康花园站 
5491,集贤庄站	868,新康花园站 
5490,集贤庄站	868,新康花园站 
5489,集贤苑总站	868,新康花园站 
5487,集贤苑路口站	868,新康花园站 
5484,集贤苑教师新村站	868,新康花园站 
5481,吉祥道站	868,新康花园站 
5480,吉祥道站	868,新康花园站 
10248,河西大道东	868,新康花园站 
10182,小坪站2	868,新康花园站 
8973,中医学院站4	868,新康花园站 
10112,埔南路延长线中站	868,新康花园站 
8884,梅园新村站2	868,新康花园站 
10109,天蕴路站	868,新康花园站 
8565,庆丰纺织一路	868,新康花园站 
8188,新南村站	868,新康花园站 
9991,汉溪路口站	868,新康花园站 
9979,大罗村(市广路)站	868,新康花园站 
7494,新滘中路(龙潭)站	868,新康花园站 
7458,长红小学站	868,新康花园站 
9594,粤溪村站	868,新康花园站 
9602,旺岗村站	868,新康花园站 
6519,南洲北路总站	868,新康花园站 
6452,南边路口站	868,新康花园站 
9934,西村地铁口站	868,新康花园站 
10094,高田街口站	868,新康花园站 
10725,竹山村站	868,新康花园站 
10722,棠下路口站	868,新康花园站 
10718,下佰坑村口站	868,新康花园站 
10715,佛塱路口站	868,新康花园站 
10712,庄埔路中站	868,新康花园站 
10762,南岭工业区南路站	868,新康花园站 
10759,南岭中路口站	868,新康花园站 
10755,南岭桥头南街口站	868,新康花园站 
10751,南岭工业区南路东站	868,新康花园站 
10748,长湴工业一路站	868,新康花园站 
10744,坑背工业街口站	868,新康花园站 
10741,广东警官学院站	868,新康花园站 
10738,永平八一路站	868,新康花园站 
10795,天骄物流园站	868,新康花园站 
10794,申通物流站	868,新康花园站 
10793,为民小学站	868,新康花园站 
10669,郭村小区站	868,新康花园站 
10619,三华村口站	868,新康花园站 
10602,雅居乐花园站	868,新康花园站 
9278,天和百货站	868,新康花园站 
9237,石南路东站	868,新康花园站 
9201,星河湾大酒店站	868,新康花园站 
9167,广州花卉博览站	868,新康花园站 
9083,梅园西站1	868,新康花园站 
10511,雅居乐站	868,新康花园站 
10469,新桥头站	868,新康花园站 
10456,风门坳站	868,新康花园站 
8902,南岸路站2	868,新康花园站 
8851,博盈站	868,新康花园站 
8841,鱼窝头市场站	868,新康花园站 
8830,东城市场站	868,新康花园站 
10451,保良村站	868,新康花园站 
8684,亭角大桥东站	868,新康花园站 
8647,大岗派出所站	868,新康花园站 
8642,上村站	868,新康花园站 
8638,岭东村站	868,新康花园站 
8629,北流村站	868,新康花园站 
8625,增沙村站	868,新康花园站 
8620,大岗中船基地站	868,新康花园站 
8606,东隆村站	868,新康花园站 
8604,南顺二村总站	868,新康花园站 
8597,亚洲国际城站	868,新康花园站 
10405,花山第二工业区站	868,新康花园站 
8582,胜洲村总站	868,新康花园站 
8579,利联仓行站	868,新康花园站 
8577,茭塘西站	868,新康花园站 
8342,花东市场站	868,新康花园站 
10285,潭村北大街总站	868,新康花园站 
7647,东方一路总站	868,新康花园站 
7225,寮采村口站	868,新康花园站 
10170,大转弯站	868,新康花园站 
10165,芳村客运站3	868,新康花园站 
9496,龙洞北路东站	868,新康花园站 
10102,仑头村站	868,新康花园站 
3588,南二路站	868,新康花园站 
3586,南村汽车站总站	868,新康花园站 
3582,南村站1	868,新康花园站 
3580,南村站	868,新康花园站 
3578,南村站	868,新康花园站 
3577,南村医院站	868,新康花园站 
3575,南村文化广场站	868,新康花园站 
3574,南村文化广场站	868,新康花园站 
3573,南村车站	868,新康花园站 
3571,南草塘站	868,新康花园站 
3568,南岸路站1	868,新康花园站 
3566,南岸路口站	868,新康花园站 
3563,沐陂路(彩釉砖厂)总站	868,新康花园站 
10792,市饲料研究所站	868,新康花园站 
10791,草庄村站	868,新康花园站 
10790,草庄东路口站	868,新康花园站 
10699,岗贝路东站	868,新康花园站 
10698,金信路(金信花园)总站	868,新康花园站 
10696,江夏东一路站	868,新康花园站 
10629,红棉国际服装城	868,新康花园站 
9339,迳下村总站	868,新康花园站 
9292,田心村口站	868,新康花园站 
9230,和平路口站	868,新康花园站 
8988,彩虹桥站2	868,新康花园站 
8971,彩虹桥站1	868,新康花园站 
8966,同德乡站1	868,新康花园站 
8935,铸管厂站2	868,新康花园站 
10575,郭塘加油站	868,新康花园站 
10542,安置北区站	868,新康花园站 
8833,大北路站	868,新康花园站 
8785,百德商业中心	868,新康花园站 
10465,缠岗站	868,新康花园站 
10392,旗岭站	868,新康花园站 
8339,富华市场站	868,新康花园站 
10410,正迳站	868,新康花园站 
8198,富田岗站	868,新康花园站 
10222,蚌湖桥南站	868,新康花园站 
10177,丽康居站	868,新康花园站 
9651,新滘东路(龙潭村)总站	868,新康花园站 
10159,蚌湖路站	868,新康花园站 
7542,槎龙村生活区站	868,新康花园站 
7537,元下田三路口站	868,新康花园站 
10125,钟落潭总站	868,新康花园站 
7461,同宝路站	868,新康花园站 
7250,海北大道站	868,新康花园站 
7189,岗贝路口站	868,新康花园站 
7167,人和华成路中站	868,新康花园站 
10115,北村(黄岐)站	868,新康花园站 
10103,仑头村站	868,新康花园站 
7045,瑶池大街站	868,新康花园站 
7027,草场站	868,新康花园站 
7019,里水客运站	868,新康花园站 
6989,蚌湖镇	868,新康花园站 
9919,大江直街北站	868,新康花园站 
6472,塘步西站	868,新康花园站 
3558,木场站	868,新康花园站 
3557,木场站	868,新康花园站 
7092,五龙岗路口站	868,新康花园站 
7085,仲恺农业工程学院站	868,新康花园站 
6760,广陈路站	868,新康花园站 
4040,人民北路站1	868,新康花园站 
4036,人和总站	868,新康花园站 
4034,人和墟站	868,新康花园站 
4033,人和墟站	868,新康花园站 
4032,人和墟(万家福广场)总站	868,新康花园站 
4031,人和新街站	868,新康花园站 
4030,人和新街站	868,新康花园站 
4029,人和三中站	868,新康花园站 
4028,人和三中站	868,新康花园站 
4027,人和华侨医院站	868,新康花园站 
4026,人和华侨医院站	868,新康花园站 
4025,人和华成路口站	868,新康花园站 
4024,人和华成路口站	868,新康花园站 
4023,人和二中站	868,新康花园站 
4022,人和二中站	868,新康花园站 
4021,人和大街站	868,新康花园站 
4020,人和大街站	868,新康花园站 
4019,人和村站	868,新康花园站 
4018,人和村站	868,新康花园站 
4017,人和北后东街口站	868,新康花园站 
4016,人和北后东街口站	868,新康花园站 
4015,人和安置区总站	868,新康花园站 
4014,泉溪站	868,新康花园站 
4013,泉溪站	868,新康花园站 
4011,庆隆中路站	868,新康花园站 
4010,庆隆中路站	868,新康花园站 
4009,庆隆路口站	868,新康花园站 
4008,庆隆路口站	868,新康花园站 
4007,庆丰站	868,新康花园站 
4005,庆丰一路站	868,新康花园站 
4004,庆丰一路站	868,新康花园站 
4003,庆丰一路口站	868,新康花园站 
4002,庆丰一路口站	868,新康花园站 
4001,七星岗站	868,新康花园站 
4000,庆丰广场站	868,新康花园站 
3999,庆丰广场站	868,新康花园站 
3996,庆丰二路口站	868,新康花园站 
3995,庆丰二路口站	868,新康花园站 
3992,庆槎路(锦东服装城)站	868,新康花园站 
3991,庆槎路(锦东服装城)站	868,新康花园站 
3989,清湖村委站	868,新康花园站 
3987,清湖村口站	868,新康花园站 
3982,青年农场站	868,新康花园站 
3969,桥中中路站	868,新康花园站 
3968,桥中中路站	868,新康花园站 
3963,桥中站2	868,新康花园站 
3962,桥中站2	868,新康花园站 
3961,桥中站1	868,新康花园站 
3959,桥中南路站	868,新康花园站 
3958,桥中南路站	868,新康花园站 
3955,桥中北路站	868,新康花园站 
3954,桥西路口站	868,新康花园站 
3951,桥东站	868,新康花园站 
3949,桥东小区总站	868,新康花园站 
3948,桥东小区站1	868,新康花园站 
3947,桥东小区站2	868,新康花园站 
7050,方华路口站	868,新康花园站 
7033,秋鹿路站	868,新康花园站 
3945,侨乐新村站	868,新康花园站 
3943,侨城花园总站	868,新康花园站 
3941,堑口码头站	868,新康花园站 
3940,堑口码头站	868,新康花园站 
3939,前进大街口站	868,新康花园站 
3938,前进北街站	868,新康花园站 
3937,前进北街站	868,新康花园站 
3934,起义路口站1	868,新康花园站 
3923,祈乐苑站	868,新康花园站 
3922,祈福新村总站	868,新康花园站 
3921,祈福新村站	868,新康花园站 
3920,祈福新村站	868,新康花园站 
11311,前锋村总站	868,新康花园站 
11310,海涌路站	868,新康花园站 
11309,海傍桥站	868,新康花园站 
11308,富怡苑站	868,新康花园站 
