6586,井岗村委站	805,谢村站 
6583,井岗村口站	805,谢村站 
6562,高普路北站	805,谢村站 
9586,茅岗村口站	805,谢村站 
6464,瑚琏农贸市场站	805,谢村站 
6441,科珠路口站	805,谢村站 
6438,南云一路南站	805,谢村站 
9584,石湖村东站	805,谢村站 
6431,南翔一路中站	805,谢村站 
6439,南云一路南站	805,谢村站 
6428,南翔一路西站	805,谢村站 
5998,柯木塱大坪街站	805,谢村站 
8092,南云二路南(海格产业园)站	805,谢村站 
8090,科丰中路站	805,谢村站 
8069,崖鹰石路北站	805,谢村站 
7968,南云五路东站	805,谢村站 
7966,科学城南部公交场总站	805,谢村站 
7868,赵溪路口站	805,谢村站 
10607,花山华侨中学站	805,谢村站 
10589,三东市场站	805,谢村站 
7591,步漖村站	805,谢村站 
7491,侨港路口	805,谢村站 
10498,广东行政学院站	805,谢村站 
7394,莘田小学站	805,谢村站 
7345,国光厂站	805,谢村站 
10459,瑞玲站	805,谢村站 
10417,石灰场站	805,谢村站 
10378,高新技术学校路口站	805,谢村站 
6777,纲领南路站	805,谢村站 
6723,郭塘村口站	805,谢村站 
6592,罗溪路站	805,谢村站 
6560,高普路中站	805,谢村站 
10161,江新路站	805,谢村站 
7785,恒达路站	805,谢村站 
7650,员村五横路口站	805,谢村站 
7649,琶洲大桥底站	805,谢村站 
7613,西塱大街站	805,谢村站 
7572,地铁文冲站	805,谢村站 
7545,槎溪大道站	805,谢村站 
7522,沐陂村口站	805,谢村站 
7455,东平东凤西路站	805,谢村站 
7439,永兴村委站	805,谢村站 
7438,龙兴中路口站	805,谢村站 
7418,石角卫生所	805,谢村站 
7359,财富工业园站	805,谢村站 
7358,朗悦君庭站	805,谢村站 
7357,永利路口站	805,谢村站 
7355,国光厂宿舍站	805,谢村站 
7344,国光厂宿舍站	805,谢村站 
7337,中心社区站	805,谢村站 
7332,横潭牌坊站	805,谢村站 
7316,花都音像厂站	805,谢村站 
7311,龙口站	805,谢村站 
7289,新街水果市场站	805,谢村站 
7285,新华街道办站	805,谢村站 
7245,横沙村站	805,谢村站 
7226,米岗村总站	805,谢村站 
7220,凤和村站	805,谢村站 
7186,清湖马田街站	805,谢村站 
7185,清湖牌坊站	805,谢村站 
7180,人和华成路东站	805,谢村站 
7179,人和华成路中站	805,谢村站 
7163,鸦湖村站	805,谢村站 
10638,东兴市场站	805,谢村站 
7136,永兴瑚琏总站	805,谢村站 
10636,山龙村委站	805,谢村站 
6761,障岗村站	805,谢村站 
6758,障岗村站	805,谢村站 
10055,星岛环南路北站	805,谢村站 
10049,生物岛叠翠园总站	805,谢村站 
5987,康南路站	805,谢村站 
