7001,旗峰小学	868,新康花园站 
6996,上沙涌	868,新康花园站 
6991,市场站	868,新康花园站 
6987,白鳝塘站	868,新康花园站 
6985,太成站	868,新康花园站 
9901,小坪立交桥站	868,新康花园站 
6976,田美新村站	868,新康花园站 
6972,田美村站	868,新康花园站 
6970,金菊花园站	868,新康花园站 
6968,圆玄小学站	868,新康花园站 
6962,杨屋村站	868,新康花园站 
6957,南航路口站	868,新康花园站 
6954,合成站	868,新康花园站 
6953,南航路口站	868,新康花园站 
6947,杨屋市场站	868,新康花园站 
6945,车辆厂技校站	868,新康花园站 
6943,大华市场站	868,新康花园站 
6942,圆玄小学站	868,新康花园站 
6940,金菊花园站	868,新康花园站 
6939,钻石花园站	868,新康花园站 
6937,云山中学站	868,新康花园站 
6932,莲塘南站	868,新康花园站 
6931,清布中学站	868,新康花园站 
9946,东平北路站	868,新康花园站 
9882,人民日报华南分社站2	868,新康花园站 
6903,田心西路站	868,新康花园站 
10062,慕园村站	868,新康花园站 
6899,田心社区站	868,新康花园站 
6895,田心西路站	868,新康花园站 
10018,黄岐镇政府总站	868,新康花园站 
9808,西村地铁站总站	868,新康花园站 
2490,东华东路站	868,新康花园站 
2489,东华东路站	868,新康花园站 
2488,东华村站	868,新康花园站 
2487,东华村站	868,新康花园站 
11398,新造职中站	868,新康花园站 
11397,新谭路口站	868,新康花园站 
11396,新造医院站	868,新康花园站 
11153,仑头立交站	868,新康花园站 
11128,花都杨屋汽车站	868,新康花园站 
11127,花都杨屋汽车站	868,新康花园站 
11120,大巷涌路口站	868,新康花园站 
11102,石基小学站	868,新康花园站 
11101,三坭涌站	868,新康花园站 
11079,均冲站	868,新康花园站 
11075,红星村站	868,新康花园站 
11068,沙尾站	868,新康花园站 
11059,均冲站	868,新康花园站 
11051,灵山医院站	868,新康花园站 
12269,榄核公交站	868,新康花园站 
11004,禺山大道西站	868,新康花园站 
10995,小平牌坊站	868,新康花园站 
10993,象贤中学北门站	868,新康花园站 
10973,沙湾派出所站	868,新康花园站 
10967,为民中路站	868,新康花园站 
10948,沙湾总站	868,新康花园站 
10919,龙岐路口站	868,新康花园站 
10918,龙岐路口站	868,新康花园站 
10907,康泰园站	868,新康花园站 
10901,江南新村站	868,新康花园站 
10885,荷景花园站	868,新康花园站 
10880,公路局南城分局站	868,新康花园站 
10878,公安基地站	868,新康花园站 
12211,五沙小学站	868,新康花园站 
12207,五沙一村站	868,新康花园站 
12191,顺番加油站	868,新康花园站 
12149,屏一村总站	868,新康花园站 
12100,北太路东	868,新康花园站 
11171,广铁一中站	868,新康花园站 
11166,海傍水乡站	868,新康花园站 
12105,高屋村	868,新康花园站 
11160,广铁一中站	868,新康花园站 
11148,大朗北路口站	868,新康花园站 
11126,花都雅居乐锦城花园总站	868,新康花园站 
11108,晒缯涌站	868,新康花园站 
11098,七十七站	868,新康花园站 
11090,鱼窝头车站总站	868,新康花园站 
11086,朗晴工业区站	868,新康花园站 
11085,东涌万兴路总站	868,新康花园站 
11076,长莫村委站	868,新康花园站 
11072,十四队站	868,新康花园站 
11069,万洲水闸总站	868,新康花园站 
11066,十四队站	868,新康花园站 
11062,长莫村委站	868,新康花园站 
11052,灵山路口南站	868,新康花园站 
11047,宜安村站	868,新康花园站 
11017,高新沙路口站	868,新康花园站 
11013,珠宝产业园站	868,新康花园站 
11008,樟边村总站	868,新康花园站 
11005,禺山大道西站	868,新康花园站 
11002,涌边村站	868,新康花园站 
10992,象贤中学北门站	868,新康花园站 
11131,石井(市114中)总站	868,新康花园站 
10972,沙湾派出所站	868,新康花园站 
10958,市桥中心小学站	868,新康花园站 
10945,沙湾南村站	868,新康花园站 
10940,沙头中学站	868,新康花园站 
10926,桥东小学站	868,新康花园站 
10914,龙岐村委站	868,新康花园站 
10902,捷进中路站	868,新康花园站 
10895,黄沙岛花园站	868,新康花园站 
10887,横坑村站	868,新康花园站 
12175,碧桂东苑	868,新康花园站 
12122,观龙岛公交总站	868,新康花园站 
12103,和乐路	868,新康花园站 
11172,技术官员村站	868,新康花园站 
11167,亚运城综合体育馆站	868,新康花园站 
12107,珠江西路南站	868,新康花园站 
11161,亚运城国际商业街站	868,新康花园站 
11140,凤凰四路站	868,新康花园站 
6860,粤溪北路站	868,新康花园站 
6853,荔德路站	868,新康花园站 
6841,上步大道站	868,新康花园站 
6810,粤溪南路口站	868,新康花园站 
6796,上涉总站	868,新康花园站 
6762,白土村站	868,新康花园站 
6731,白沙村口站	868,新康花园站 
6716,神山大道西站	868,新康花园站 
10179,同德乡站	868,新康花园站 
10169,大转弯站	868,新康花园站 
6683,碑记街站	868,新康花园站 
10145,米龙村	868,新康花园站 
10138,黄石北收费站	868,新康花园站 
10137,黄石北收费站	868,新康花园站 
10121,红旗路站	868,新康花园站 
10114,北村(黄岐)站	868,新康花园站 
6639,江城路站	868,新康花园站 
6637,江高小塘站	868,新康花园站 
10100,高田街东站	868,新康花园站 
6631,蓼江小学站	868,新康花园站 
6615,蓼江上梁站	868,新康花园站 
10096,岗贝路口站	868,新康花园站 
6594,罗溪中路站	868,新康花园站 
6585,井岗大道北街口站	868,新康花园站 
6582,雄丰路口站	868,新康花园站 
10084,王园路站	868,新康花园站 
10080,沙河站2	868,新康花园站 
6575,沐陂村站	868,新康花园站 
6572,高普路北站	868,新康花园站 
6570,高普路中站	868,新康花园站 
10073,桥中总站	868,新康花园站 
10053,生物岛北站	868,新康花园站 
6552,平洲医院路口	868,新康花园站 
10044,沙涌站2	868,新康花园站 
6537,平南市场	868,新康花园站 
6520,广州塔东站	868,新康花园站 
6504,裕丰村站	868,新康花园站 
6501,海傍村站	868,新康花园站 
6498,前锋村站	868,新康花园站 
6496,区公汽公司站	868,新康花园站 
6494,番禺汽车客运站	868,新康花园站 
6491,石岗村站	868,新康花园站 
6488,清河市场站	868,新康花园站 
6482,区政府东门	868,新康花园站 
6473,南大路口站	868,新康花园站 
6470,冼庄立交站	868,新康花园站 
10007,邮电大厦(德兴路)站	868,新康花园站 
9998,锦绣文化中心站	868,新康花园站 
6382,瑶华街口站	868,新康花园站 
9876,南华东路站	868,新康花园站 
9821,沙渡路(北大附中)站	868,新康花园站 
9637,南泰路东站	868,新康花园站 
6353,广从路口站	868,新康花园站 
9603,旺岗村站	868,新康花园站 
6351,八十一中学站	868,新康花园站 
6348,康王路(上下九)总站(总站)	868,新康花园站 
6336,云苑新村站	868,新康花园站 
9932,人民日报华南分社站	868,新康花园站 
9869,人民北路站	868,新康花园站 
9781,丰鑫装饰材料城站	868,新康花园站 
9847,广纸路总站	868,新康花园站 
9825,军体院站2	868,新康花园站 
9587,茅岗村口站	868,新康花园站 
9862,中山七路站	868,新康花园站 
6307,阅江中路站	868,新康花园站 
9516,员村山顶站3	868,新康花园站 
9805,石牌村站4	868,新康花园站 
9506,白云山管理局站2	868,新康花园站 
9544,荔湾路口站2	868,新康花园站 
9500,解放中路站3	868,新康花园站 
11980,石基三中(富怡路)站	868,新康花园站 
11979,东方白云花园站	868,新康花园站 
11978,朗陶居站	868,新康花园站 
11977,金业别墅花园站	868,新康花园站 
11976,绿庭雅苑站	868,新康花园站 
11975,汇景大道站	868,新康花园站 
11974,洋五洲站	868,新康花园站 
11973,西村路口站	868,新康花园站 
11972,浮沙村站	868,新康花园站 
11971,古坝市场站	868,新康花园站 
11970,新洲村委站	868,新康花园站 
11969,龙湾村站	868,新康花园站 
11968,龙湾小学站	868,新康花园站 
11967,龙湾小学站	868,新康花园站 
11966,紫坭村委站	868,新康花园站 
11965,小平路口站	868,新康花园站 
