20090,海珠广场	2747,丰乐路站 
5746,金水里西站	2747,丰乐路站 
5744,金水里东站	2747,丰乐路站 
10694,鹤泰路中站	2747,丰乐路站 
9160,海中八路站	2747,丰乐路站 
9156,龙溪大道西站	2747,丰乐路站 
20023,公园前	2747,丰乐路站 
20057,市二宫	2747,丰乐路站 
20082,江南西	2747,丰乐路站 
20067,昌岗	2747,丰乐路站 
20007,东晓南	2747,丰乐路站 
3212,棠下村站	2747,丰乐路站 
20084,江泰路	2747,丰乐路站 
20031,南洲	2747,丰乐路站 
20087,洛溪	2747,丰乐路站 
3191,棠东站	2747,丰乐路站 
3190,棠东站	2747,丰乐路站 
20032,南浦	2747,丰乐路站 
20015,会江	2747,丰乐路站 
20104,石壁	2747,丰乐路站 
20061,广州南站	2747,丰乐路站 
20059,广州东站	2747,丰乐路站 
12444,番禺奥林匹克花园站	2747,丰乐路站 
20060,广州东站	2747,丰乐路站 
20076,林和西	2747,丰乐路站 
12562,广大麓湖雕塑公园总站	2747,丰乐路站 
20021,体育西路	2747,丰乐路站 
20075,林和西	2747,丰乐路站 
20018,体育中心南	2747,丰乐路站 
20047,天河南	2747,丰乐路站 
20138,黄埔大道	2747,丰乐路站 
20112,花城大道	2747,丰乐路站 
20049,妇儿中心	2747,丰乐路站 
20079,歌剧院	2747,丰乐路站 
20089,海心沙	2747,丰乐路站 
20124,赤岗塔	2747,丰乐路站 
20135,魁奇路	2747,丰乐路站 
20050,季华园	2747,丰乐路站 
20035,同济路	2747,丰乐路站 
20108,祖庙	2747,丰乐路站 
20070,普君北路	2747,丰乐路站 
20071,朝安	2747,丰乐路站 
20077,桂城	2747,丰乐路站 
20030,南桂路	2747,丰乐路站 
20133,雷岗	2747,丰乐路站 
20028,千灯湖	2747,丰乐路站 
20130,金融高新区	2747,丰乐路站 
20145,龙溪	2747,丰乐路站 
20114,菊树	2747,丰乐路站 
20002,万胜围	2747,丰乐路站 
12488,沙滘站	2747,丰乐路站 
12485,尚上名筑站	2747,丰乐路站 
12479,白岗村站	2747,丰乐路站 
12477,白岗村站	2747,丰乐路站 
12476,东线路北站	2747,丰乐路站 
12475,东线路南站	2747,丰乐路站 
12474,东盛路北站	2747,丰乐路站 
12473,蔗山村口站	2747,丰乐路站 
12472,东盛路中站	2747,丰乐路站 
12464,星辰时代豪庭站	2747,丰乐路站 
12463,昊龙花园站	2747,丰乐路站 
12448,蔡二新村(番禺大道北)站	2747,丰乐路站 
12447,蔡边村(番禺大道北)站	2747,丰乐路站 
12445,皇冠音响厂站	2747,丰乐路站 
20119,西朗	2747,丰乐路站 
20099,琶洲	2747,丰乐路站 
20065,新港东	2747,丰乐路站 
20107,磨碟沙	2747,丰乐路站 
20122,赤岗	2747,丰乐路站 
12552,中山纪念堂总站	2747,丰乐路站 
20054,客村	2747,丰乐路站 
20137,鹭江	2747,丰乐路站 
20009,中大	2747,丰乐路站 
20069,晓港	2747,丰乐路站 
20068,昌岗	2747,丰乐路站 
20085,沙园	2747,丰乐路站 
20052,宝岗大道	2747,丰乐路站 
12486,江兴村站	2747,丰乐路站 
12482,东盛路北站	2747,丰乐路站 
12481,东线路南站	2747,丰乐路站 
12462,奥园广场站	2747,丰乐路站 
2218,大干围北站	12791,林头西站 
2217,大干围北站	12791,林头西站 
2215,大夫山公园北门站	12791,林头西站 
2214,大夫山公园北门站	12791,林头西站 
2213,大汾田公路口站	12791,林头西站 
2212,大汾田公路口站	12791,林头西站 
2211,大东门(中山三路)站2	12791,林头西站 
2210,大东门(中山三路)站1	12791,林头西站 
